Project ID,Project Name,Implementing Agency,Program,Project Description,Total Cost,SB 1 Funds,Fiscal Year,Is SB 1?,Project Status,Assembly Districts,Senate Districts,Counties,Cities,Caltrans Districts,Is on SHS?,Date Updated
'0115000022,Humboldt Bay Trail: Arcata Rail with Trail,City of Arcata,Active Transportation Program,"Construct a 4.5 mile section of Class I ADA accessible paved trail from Samoa Blvd to the Hwy 101 and Bracut intersection. 1,000 feet south of the Bayside Cut-off and Hwy 101 intersection.",5366000,0,14/15,N,Completed,2,2,Humboldt,Arcata,1,N,9/13/2021
'0116000080,Arcata Safe Routes to School Improvements 2015,City of Arcata,Active Transportation Program,"Construction of speed humps, traffic calming circle, and new sidewalk infill and replacement, as well as installation of new school zone signage, pavement markings and ADA ramps. Creation of a Walk and Bike Safe Routes to School map.",606000,0,15/16,N,Completed,2,2,Humboldt,Arcata,1,N,9/13/2021
'0121000102,Arcata Annie & Mary Trail Connectivity Project,City of Arcata,Active Transportation Program,"PA&ED, PS&E, ROW and CON of 3.3 mile Class I trail along NCRA rail corridor and Caltrans? Giuntoli Ln and Sunset Ave overpasses in north Arcata plus trailhead improvements.",5286000,4220000,20/21,Y,Planned,2,2,Humboldt,Arcata,1,N,9/13/2021
'LSR-3075,Road Safety Improvement,City of Arcata,Local Streets and Roads,"Procurement of Public Works Equipment, Installing two radar feedback signs within city limits for traffic/speed control",6868,6868,18/19,Y,Completed,2,2,Humboldt,Arcata,1,N,6/30/2021
'LSR-334,Paving Hauser Court and 18th Street,City of Arcata,Local Streets and Roads,Annual maintenance project,33165,33165,17/18,Y,Completed,2,2,Humboldt,Arcata,1,N,6/30/2021
'LSR-335,Street maintenance ( fixing potholes and AC overlay),City of Arcata,Local Streets and Roads,Annual maintenance project,39672,22370,17/18,Y,Completed,2,2,Humboldt,Arcata,1,N,6/30/2021
'LSR-324,Road Safety Improvement (two radar feedback signs),City of Arcata,Local Streets and Roads,Installing speed feedback signs at two locations in the City limit for traffic /speed control,14271,14271,17/18,Y,Completed,2,2,Humboldt,Arcata,1,N,6/30/2021
'LSR-325,Striping on City Roadways,City of Arcata,Local Streets and Roads,"Annual striping project 2017, includes striping city streets that are fading away",29740,29740,17/18,Y,Completed,2,2,Humboldt,Arcata,1,N,6/30/2021
'LSR-326,Street maintenance ( fixing potholes and AC overlay),City of Arcata,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Pavement Improvement (New), Annual maintenance project to fix potholes and AC Overlay",8118,8118,17/18,Y,Completed,2,2,Humboldt,Arcata,1,N,6/30/2021
'LSR-6103,Road Safety Improvements (Two Radar Feedback Signs),City of Arcata,Local Streets and Roads,"Procurement of Public Works Equipment, Purchase radar feedback signs for local streets.",14924,14924,19/20,Y,Completed,2,2,Humboldt,Arcata,1,N,6/30/2021
'LSR-6105,Street Maintenance,City of Arcata,Local Streets and Roads,Pavement Rehab/Repair (Existing),180901,180901,19/20,Y,InProgress,2,2,Humboldt,Arcata,1,N,6/30/2021
'LSR-6109,Street Maintenance,City of Arcata,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), Road maintenance including grinding, overlaying and striping",447801,447801,19/20,Y,InProgress,2,2,Humboldt,Arcata,1,N,6/30/2021
'2020-5021-001,Automated Counters,City of Arcata,State of Good Repair,"Purchase two (2) Model 30 CPU Passenger counters to be installed in two (2) 35' diesel buses to track the flow of ridership and to identify bus stops with low boardings to help with future planning.  The software is a cloud based system that can be accessed on any computer and reports can be integrated with the different systems. Transferred $1,411 of leftover funds from FY 17/18 to help purchase counters.",11411,11411,19/20,Y,In Progress,2,2,Humboldt,Arcata,1,N,9/9/2021
'2020-5021-002,AMRTS Fleet Repairs,City of Arcata,State of Good Repair,"Preventative maintenance and repairs, parts, and labor for four (4) 35' diesel buses and two (2) gasoline cutaways",12464,12464,19/20,Y,Completed,2,2,Humboldt,Arcata,1,N,9/9/2021
'TEMP-SGR-5021-S,Emergency Back-up Generator,City of Arcata,State of Good Repair,Arcata is requesting funds to purchase a  back-up generator for Arcata's transit building/facility. The back-up generator will allow the the transit building to remain open and serve the community during Public Safety Power Shutoffs (PSPS).,40000,40000,20/21,Y,Planned,2,2,Humboldt,Arcata,1,N,9/9/2021
'LSR-4420,James Way Repairs,City of Arroyo Grande,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Pavement repairs consisting of digouts on James Way prior to overlay",328474,328474,18/19,Y,Completed,35,17,San Luis Obispo,Arroyo Grande,5,N,6/30/2021
'LSR-5585,Street Rehabilitation,City of Arroyo Grande,Local Streets and Roads,"ADA Curb Ramp Rehab/Repair (Existing), Pavement Rehab/Repair (Existing), Bicycle Lane Rehab/Repair (Existing)",936608,309610,19/20,Y,Completed,35,17,San Luis Obispo,Arroyo Grande,5,N,6/30/2021
'LSR-937,Street Rehabilitation,City of Arroyo Grande,Local Streets and Roads,"Rehabilitate approximately 2,000 feet of roadway",103925,103925,17/18,Y,Completed,35,17,San Luis Obispo,Arroyo Grande,5,N,6/30/2021
'0718000296,Norwalk Artesia Boulevards Safe Streets Project,City of Artesia,Active Transportation Program,"Promote multi-modal connections to other major thoroughfares by incorporating bike lanes, upgrading ADA ramps, repairing uplifted or uneven sidewalks, and enhancing traffic calming by installing safety pedestrian refuge along Norwalk Boulevard to reduce speed limit. Improvements are along Norwalk and Artesia Boulevards between city limits to city limits.",2327000,1987000,16/17,Y,Completed,58,32,Los Angeles,Artesia,7,N,9/13/2021
'0719000194,Mitigate Pedestrian and Bicycle Safety Deficiencies,City of Artesia,Active Transportation Program,"Upgrade substandard sidewalk, handicapped ramps and driveways to ADA Standards, install a pedestrian traffic signal, loading and unloading turnout bay for parents to drop off children, Share the Road signs and markings on narrow residential streets to improve safety of cyclists and enhance the school crosswalk with in-roadway lighted markers.",623000,563000,16/17,Y,In Progress,58,32,Los Angeles,Artesia,7,N,9/13/2021
'LSR-2508,Restoration of Pioneer Boulevard,City of Artesia,Local Streets and Roads,Mobilization of traffic control; removal of five signs; construction of 20 feet linear curb; removal and disposal of existing curb median; paving 5 ft. wide slot with 8 in. ac pavement over 4 in. aggregate base over 12 in. subgrade; striping per City's striping plan,74297,74297,17/18,Y,Completed,58,32,Los Angeles,Artesia,7,N,6/30/2021
'0615000171,T02 - Sidewalk Improvements at Various Locations,City of Arvin,Active Transportation Program,"Construction of SRTS walkways, access ramps, and cross walks along various streets connecting to elementary schools.",680000,0,14/15,N,In Progress,32,14,Kern,Arvin,6,N,9/13/2021
'LSR-481,Franklin Street FDR,City of Arvin,Local Streets and Roads,"Cost Estimating, Document Preparation, Preliminary Design, Environmental Study/Documents, Full depth pavement rehabilitation between S. A Street and Walnut Avenue.",480000,34061,19/20,Y,Planned,32,14,Kern,Arvin,6,N,6/30/2021
'LSR-56,Purchase hot mix truck and plate compactor,City of Arvin,Local Streets and Roads,"Procurement of Public Works Equipment, Procurement of Road Maintenance and Rehab Materials, City needs to purchase a hot mix truck and walk behind plate compactor to allow for more efficient and reliable patches of potholes throughout the city.",48008,48008,18/19,Y,Completed,32,14,Kern,Arvin,6,N,6/30/2021
'2018-5370-001,LOW NO-BUS AND CHARGER -purchase 3 Proterra Electric Buses and  Infrastructure,City of Arvin,State of Good Repair,Funds will be used for Matching Funds for the purchase of three Proterra Electric Buses Low-No Buses  and Charging Station Infrastructure,218868,218868,17/18,Y,In Progress,32,14,Kern,Arvin,6,N,9/9/2021
'TEMP-SGR-5370-U,Purchase three Proterra Catalyst 35-foot zero emission buses,City of Arvin,State of Good Repair,"Replace three 33' diesel buses that are beyond their useful life by purchasing three Proterra Catalyst 35-foot, battery-electric, zero emission buses and three DC Fast Charging Stations. CALSTART and Clean Fuels Technology will provide the technical support to install the electrical infrastructure and fast charging stations to power the new buses.",46030,16121,20/21,Y,Planned,32,14,Kern,Arvin,6,N,9/9/2021
'LSR-912,El Camino Real Rehabilitation - North,City of Atascadero,Local Streets and Roads,"Bicycle Lane Rehab/Repair (Existing), Sidewalk and/or Crosswalk Rehab/Repair (Existing), Document Preparation, Pavement Rehab/Repair (Existing), ADA Curb Ramp Installation (New), Preliminary Design, Storm Drain and/or Culvert Rehab/Repair (Existing), Cost Estimating, Paving and/or Striping Rehab/Repair (Existing Safety), Sidewalk and/or Crosswalk Installation (New), ADA Curb Ramp Rehab/Repair (Existing), Major pavement rehabilitation for approximately 0.78 miles of arterial roadway to improve deteriorated pavement conditions and better define roadway configuration for all roadway users, including motorists, bicyclists, and pedestrians.  This roadway section is heavily used and the City receives numerous complaints regarding its condition and inquiries of when it will be replaced.  Project will include constructing approximately 250 feet of a inchesmissing linkinches section of sidewalk on the west side to provide better pedestrian connectivity along the corridor.",1006142,705383,18/19,Y,Completed,35,17,San Luis Obispo,Atascadero,5,N,6/30/2021
'LSR-192,2018 Overlay Project,City of Atherton,Local Streets and Roads,Grind 2inches and overlay various streets including installation of pavement markings.,360864,16884,17/18,Y,Completed,24,13,San Mateo,Atherton,4,N,6/30/2021
'LSR-1104,2019 Street Overlay Project,City of Atherton,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), Grind 2inches and overlay with new asphalt, install pavement striping and markings.",537600,130963,18/19,Y,Completed,24,13,San Mateo,Atherton,4,N,6/30/2021
'LSR-792,2018 Slurry Seal Project,City of Atherton,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), Slurry Seal Various Streets within the Town of Atherton, including restoration of pavement markings.",161102,25000,18/19,Y,Completed,24,13,San Mateo,Atherton,4,N,6/30/2021
'LSR-1822,Fruitland Avenue Road Improvement Phase 1,City of Atwater,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), Preliminary Design, Cost Estimating, Fruitland Avenue will undergo a long-term pavement upgrade with new traffic circles to encourage the flow of traffic while reducing emissions and increasing pedestrian safety.",205457,178890,19/20,Y,Completed,21,12,Merced,Atwater,10,N,6/30/2021
'LSR-1827,City Wide Roadway Painting,City of Atwater,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing), All city roads require extensive painting maintenance for safety.",15000,12640,19/20,Y,InProgress,21,12,Merced,Atwater,10,N,6/30/2021
'0313000306,Nevada Street Pedestrian and Bicycle Facilities,City of Auburn,Active Transportation Program,"Connect public facilities with a major transportation hub.  Planned construction of 2,600 lineal feet of sidewalk and bike lanes will connect to the Auburn Multi modal transit facility.",1648000,0,14/15,N,Completed,"01, 05",1,Placer,Auburn,3,N,9/13/2021
'LSR-4395,Nevada Street Pedestrian & bicycle facilities Project - Phase II,City of Auburn,Local Streets and Roads,"ADA Curb Ramp Installation (New), Pavement Improvement (New), Sidewalk and/or Crosswalk Rehab/Repair (Existing), Sidewalk and/or Crosswalk Installation (New), Paving and/or Striping Rehab/Repair (Existing Safety), Storm Drain and/or Culvert Rehab/Repair (Existing), Paving and/or Striping Installation (New Safety), Bicycle Lane (New), ADA Curb Ramp Rehab/Repair (Existing), Pavement Rehab/Repair (Existing), Storm Drain/Culvert Installation (New)",6152000,267939,19/20,Y,Completed,5,1,Placer,Auburn,3,N,6/30/2021
'LSR-6153,Spring 2020 Road Micro Resurface,City of Auburn,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety)",401900,249268,19/20,Y,Completed,5,1,Placer,Auburn,3,N,6/30/2021
'LSR-999,2018 Street Overlay Project - Downtown Auburn & Ophir Rd.,City of Auburn,Local Streets and Roads,Repave 350 feet of street; Repave 950 feet of street; Repave 600 feet of street; Repave 750 feet of street; Repave 1290 feet of Street; Repave 320 feet of Street; Repave 150 feet of Street; Repave 2900 feet of Street; Repave 720 feet of Street; Repave 300 feet of Street; Repave 510 feet of Street,532100,82596,18/19,Y,Completed,5,1,Placer,Auburn,3,N,6/30/2021
'2018-5077-002,Auburn Transit Preventive Maintenance,City of Auburn,State of Good Repair,"This agency runs a small operation.   So prioritization of our investments is essential, we evaluate the ULB, vehicle condition, and maintenance history of the vehicles in order to extend the useful life of rolling stock in a safe effective manner while maintaining standards of SGR funding criteria.",15430,15430,17/18,Y,In Progress,"01, 05",1,Placer,Auburn,3,N,9/9/2021
'2019-5077-003,Auburn Transit Preventive Maintenance,City of Auburn,State of Good Repair,"Auburn Transit fleet has a proposed replacement schedule which reflects useful life standards recommended by the Federal Transit Administration (FTA). The average age of the Auburn Transit fleet is 8 years and has an average of 63,000 miles. Since the transit agency is relatively small the primary goal of Auburn transit in regard to SGR funding is to maintain fleet vehicles at a high standard first before considering replacement.",47739,47739,18/19,Y,Completed,"01, 05",1,Placer,Auburn,3,N,9/9/2021
'TEMP-SGR-5077-X,Zero Emission Bus Purchase,City of Auburn,State of Good Repair,Purchase one 20+2 Electric Bus in accordance with the City of Auburn's short range Transit Plan to fill out Auburn transit fleet.,438508,225,20/21,Y,Planned,"01, 05",1,Placer,Auburn,3,N,9/9/2021
'LSR-2527,Global Paving Project,City of Avalon,Local Streets and Roads,As part of a larger citywide project the scope of the work included repairing failed pavement and overlaying the roadways with asphalt concrete. The roadways receiving this treatment include Casino Way and Bodega Road. The project scope also included a citywide effort of placing the final hot mix asphalt in areas that had received temporary patches from underground utility repairs.,560000,21844,17/18,Y,Completed,70,26,Los Angeles,Avalon,7,N,6/30/2021
'LSR-5031,Five Corner Complete Street Project,City of Avalon,Local Streets and Roads,"Active Transportation Plan, Reconstruct a 5-way intersection utilizing complete streets concepts by installing two mini roundabouts, new sidewalks, lighting, improved transit facilities and shared bicycle facilities.",2221000,137509,19/20,Y,Planned,70,26,Los Angeles,Avalon,7,N,6/30/2021
'0619000209,Avenal Safe Routes to School SR 269 Improvement Project,City of Avenal,Active Transportation Program,Avenal Safe Routes to School SR 269 Improvement Project will add to and improve existing safety features along SR 269 (Skyline Blvd.) encouraging active modes of transportation.,537000,537000,18/19,Y,Planned,32,14,Kings,Avenal,6,N,9/13/2021
'LSR-1704,Vernon Avenue Pavement Rehabilitation from Gladstone Street to 6th Street,City of Azusa,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Rehabilitate pavement on Vernon Avenue from Gladstone Street to 6th Street. This segment of road is approximately 1.2 miles in length. Curb ramps that do not comply with ADA guidelines will be removed and replaced accordingly.",497543,497543,18/19,Y,Completed,48,22,Los Angeles,Azusa,7,N,6/30/2021
'0616000110,Safe Route to School Improvements-Frank West Elementary,City of Bakersfield,Active Transportation Program,install city standard sidewalks and ADA approved access ramps along the streets in and around Frank West Elementary School.,312000,0,14/15,N,Completed,"32, 34","14, 16",Kern,Bakersfield,6,N,9/13/2021
'ATP4-06-070M,Friant-Kern Canal Multi-Use Path,City of Bakersfield,Active Transportation Program,Construct a Class I multi-use path (6 miles) along the Friant-Kern Canal that connects to the Kern River Parkway (32 miles) to serve as a regional active transportation corridor.,8200000,1890000,18/19,Y,Planned,"32, 34","14, 16",Kern,Bakersfield,6,N,9/13/2021
'0618000206,Downtown Bakersfield Pedestrian Connectivity Project,City of Bakersfield,Active Transportation Program,"The Downtown Bakersfield Pedestrian Connectivity Project closes gaps, provides connections, and encourages pedestrians to use active modes of transportation within the downtown area by adding approximately 128 access ramps, constructing 3,615 linear feet of sidewalks, and improving a pedestrian island and median.",1032000,825000,16/17,Y,Completed,"32, 34",14,Kern,Bakersfield,6,N,9/13/2021
'0617000160,"""A"" Street Improvements",City of Bakersfield,Active Transportation Program,"Construction of new sidewalk, handicap access ramps, and curbs and gutters.",1110000,0,15/16,N,Completed,32,16,Kern,Bakersfield,6,N,9/13/2021
'0620000016,Downtown Bakersfield Bicycle Connectivity Project,City of Bakersfield,Active Transportation Program,The project includes adding 19.05 miles of new Class II bicycle lanes and Class III bicycle routes; installation of 50 silhouette-type bicycle parking racks; and installation of 5 bike corrals and 10 sheltered bike corrals. The proposed non-infrastructure phase will implement a bike share program throughout the City. The bike share entails having an agreement with an electric assist sharing company to implement and operate a subsidized micro-mobility option for a minimum of 2 years.,1367000,0,16/17,N,In Progress,"32, 34","14, 16",Kern,Bakersfield,6,N,9/13/2021
'ATP5-06-109M,Chester Avenue (4th Street to Brundage Lane),City of Bakersfield,Active Transportation Program,"Construct curb extensions, high-visibility crosswalks, advanced stop/turn line markings, leading pedestrian intervals at signalized intersections, bike lanes and center medians.",791000,0,20/21,N,Planned,"32, 34","14, 16",Kern,Bakersfield,6,N,9/13/2021
'LSR-1315,Allen Road from Olive Drive to Reina Road,City of Bakersfield,Local Streets and Roads,"City Staff will perform section repairs, as needed, along with doing a complete .35 feet overlay on the entire street. This will be done by utilizing various annual contracts from material suppliers, trucking, and asphalt grinding contractors, with City Streets staff doing the paving.",215002,215002,17/18,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-1320,Bernard Street from Union Avenue to Kern Street,City of Bakersfield,Local Streets and Roads,"City Staff will perform section repairs, as needed, along with doing a complete .35 feet overlay on the entire street. This will be done by utilizing various annual contracts from material suppliers, trucking, and asphalt grinding contractors with City Streets staff doing the paving.",289386,289386,17/18,Y,Completed,"32, 34","14, 16",Kern,Bakersfield,6,N,6/30/2021
'LSR-1323,Campus Park Drive from Old River Road to Buena Vista Road,City of Bakersfield,Local Streets and Roads,"City Staff will perform section repairs, as needed, along with doing a complete .35 feet overlay on the entire street. This will be done by utilizing various annual contracts from material suppliers, trucking, and asphalt grinding contractors with City Streets staff doing the paving.",403381,403381,17/18,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-1324,Miramonte Drive from State Route 178 South to City Limits,City of Bakersfield,Local Streets and Roads,"City Staff will perform section repairs, as needed, along with doing a complete .35 feet overlay on the entire street. This will be done by utilizing various annual contracts from material suppliers, trucking, and asphalt grinding contractors with City Streets staff doing the paving.",278784,186022,17/18,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-1391,Pavement Rehabilitation on Auburn Street from Oswell Street to Fairfax Road,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), ADA Curb Ramp Rehab/Repair (Existing), Bicycle Lane Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), Local match requirement for FHWA funding.  Existing pavement along this roadway is in disrepair. Rehabilitation of this pavement will improve the overall rideability of the road for both passenger cars and commercial trucks. This project is 88.53% federally funded with a 11.47% local match requirement.",1059453,174408,19/20,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-1393,Pavement Rehabilitation on Truxtun Avenue from T Street to Beale Avenue,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), ADA Curb Ramp Rehab/Repair (Existing), Local match requirement for FHWA funding.  Existing pavement along this roadway is in disrepair. Rehabilitation of this pavement will improve the overall rideability of the road for both passenger cars and commercial trucks. This project is 88.53% federally funded with a 11.47% local match requirement.",1039155,159265,19/20,Y,Completed,"32, 34","14, 16",Kern,Bakersfield,6,N,6/30/2021
'LSR-1394,Pavement Resurfacing on Wilson Road from State Route 99 to Real Road,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), ADA Curb Ramp Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), Existing pavement along this roadway is in disrepair. Rehabilitation of this pavement will improve the overall rideability of the road for both passenger cars and commercial trucks.",215505,245558,18/19,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-284,Pavement Rehabilitation on A Street from Brundage Lane to California Avenue,City of Bakersfield,Local Streets and Roads,"ADA Curb Ramp Rehab/Repair (Existing), Bicycle Lane (New), Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing), Local match requirement for FHWA funding.  Existing pavement along this roadway is in disrepair. Rehabilitation of this pavement will improve the overall rideability of the road for both passenger cars and commercial trucks. This project is 88.53% federally funded with a 11.47% local match requirement.",1692963,192754,19/20,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-1388,Pavement Rehabilitation on Hughes Lane from Wilson Road to Ming Avenue,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), ADA Curb Ramp Rehab/Repair (Existing), Bicycle Lane Rehab/Repair (Existing), Local match requirement for FHWA funding.  Existing pavement along this roadway is in disrepair. Rehabilitation of this pavement will improve the overall rideability of the road for both passenger cars and commercial trucks. This project is 88.53% federally funded with a 11.47% local match requirement.",879935,142758,19/20,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-4126,Pavement Resurfacing - Pin Oak Blvd from White Lane to Bear Creek,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), City Staff will perform section repairs, as needed, along with doing a complete .35 feet overlay on the entire steet. This will be done by utilizing various annual contracts from material suppliers, trucking, and asphalt grinding contractors with City Streets staff doing the paving.",451606,451606,18/19,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-3862,Pavement Rehabilitation Various Streets,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), ADA Curb Ramp Rehab/Repair (Existing), Bicycle Lane Rehab/Repair (Existing)",312020,312020,19/20,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-3908,Pavement Resurfacing - Jewetta Avenue from Hageman Road to South of Lonon Avenue,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Bicycle Lane Rehab/Repair (Existing), ADA Curb Ramp Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), City Staff will perform section repairs, as needed, along with doing a complete .35 feet overlay on the entire steet. This will be done by utilizing various annual contracts from material suppliers, trucking, and asphalt grinding contractors with City Streets staff doing the paving.",200000,200000,18/19,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-3909,Pavement Resurfacing - Clay Patrick Farr from Granite Falls to Hageman Road,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Bicycle Lane Rehab/Repair (Existing), ADA Curb Ramp Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), City Staff will perform section repairs, as needed, along with doing a complete .35 feet overlay on the entire steet. This will be done by utilizing various annual contracts from material suppliers, trucking, and asphalt grinding contractors with City Streets staff doing the paving.",450000,464187,18/19,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-3914,Pavement Resurfacing - Park View from White Lane to Campus Park,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), City Staff will perform section repairs, as needed, along with doing a complete .35 feet overlay on the entire steet. This will be done by utilizing various annual contracts from material suppliers, trucking, and asphalt grinding contractors with City Streets staff doing the paving.",264267,264267,18/19,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-3916,Pavement Resurfacing - Berkshire Rd from Wible Road to Santana Sun Dr.,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), ADA Curb Ramp Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), City Staff will perform section repairs, as needed, along with doing a complete .35 feet overlay on the entire steet. This will be done by utilizing various annual contracts from material suppliers, trucking, and asphalt grinding contractors with City Streets staff doing the paving.",133935,133935,18/19,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-3922,Pavement Rehabilitation on H Street from Brundage Lane to 4th Street,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), ADA Curb Ramp Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), City Staff will perform section repairs, as needed, along with doing a complete .35 feet overlay on the entire steet. This will be done by utilizing various annual contracts from material suppliers, trucking, and asphalt grinding contractors with City Streets staff doing the paving.",290734,290734,18/19,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-3925,Pavement Rehabilitation on Wible Road from White Lane to Planz Road,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Bicycle Lane Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), ADA Curb Ramp Rehab/Repair (Existing), Local match requirement for FHWA funding.  Existing pavement along this roadway is in disrepair. Rehabilitation of this pavement will improve the overall rideability of the road for both passenger cars and commercial trucks. This project is 88.53% federally funded with a 11.47% local match requirement.",1322204,216668,19/20,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-3926,Pavement Rehabilitation on District Blvd from Gosford Road to Stine Road,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), ADA Curb Ramp Rehab/Repair (Existing), Local match requirement for FHWA funding.  Existing pavement along this roadway is in disrepair. Rehabilitation of this pavement will improve the overall rideability of the road for both passenger cars and commercial trucks. This project is 88.53% federally funded with a 11.47% local match requirement.",5270000,642239,19/20,Y,InProgress,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-3927,Pavement Rehabilitation on H Street from 4th Street to Truxtun Avenue,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), ADA Curb Ramp Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), Existing pavement along this roadway is in disrepair. Rehabilitation of this pavement will improve the overall rideability of the road for both passenger cars and commercial trucks.",2036291,1745930,19/20,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-3931,Pavement Rehabilitation on Haley Street from Columbus Avenue to University Avenue,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), ADA Curb Ramp Rehab/Repair (Existing), Existing pavement along this roadway is in disrepair. Rehabilitation of this pavement will improve the overall rideability of the road for both passenger cars and commercial trucks.",2148190,2035966,19/20,Y,InProgress,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-5599,Pavement Rehabilitation White Lane,City of Bakersfield,Local Streets and Roads,"Traffic Signals, Lights, and/or Signage Installation (New Safety), Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), ADA Curb Ramp Rehab/Repair (Existing), Existing pavement along this roadway is in disrepair.  Rehabiliation of this pavement will improve the overall rideability of the road for both passenger cars and commercial trucks.  PCI of this roadway is 23.",2690000,41079,19/20,Y,InProgress,32,14,Kern,Bakersfield,6,N,6/30/2021
'LSR-5600,Pavement Rehabilitation Buena Vista Road,City of Bakersfield,Local Streets and Roads,"Pavement Rehab/Repair (Existing), ADA Curb Ramp Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), Traffic Signals, Lights, and/or Signage Installation (New Safety), Existing pavement along this roadway is in disrepair.  Rehabilitation of this pavement will improve the overall rideability of the road for both passenger cars and commercial trucks.  Current PCI for this roadway is 45.",3072779,3072779,19/20,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-5625,Pavement Rehabilitation South H Street from Pacheco Rd to White Lane,City of Bakersfield,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), ADA Curb Ramp Rehab/Repair (Existing), Pavement Rehab/Repair (Existing)",1687900,8185,19/20,Y,InProgress,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-5626,Resurfacing Oleander,City of Bakersfield,Local Streets and Roads,"Sidewalk and/or Crosswalk Installation (New), ADA Curb Ramp Rehab/Repair (Existing), Pavement Rehab/Repair (Existing)",413179,413179,19/20,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
'LSR-5627,Pavement Rehab Mill Oak Run,City of Bakersfield,Local Streets and Roads,"ADA Curb Ramp Rehab/Repair (Existing), Pavement Rehab/Repair (Existing)",166796,110000,19/20,Y,Completed,34,16,Kern,Bakersfield,6,N,6/30/2021
